,Compound,Date,Negative,Neutral,Positive,Tweets Ago
0,-0.1779,Sun Oct 21 14:58:26 +0000 2018,0.199,0.588,0.213,1
1,-0.875,Sun Oct 21 11:09:35 +0000 2018,0.435,0.565,0.0,2
2,0.0,Sat Oct 20 01:58:35 +0000 2018,0.0,1.0,0.0,3
3,-0.7351,Fri Oct 19 22:13:21 +0000 2018,0.292,0.708,0.0,4
4,-0.9628,Fri Oct 19 14:10:56 +0000 2018,0.556,0.444,0.0,5
5,-0.8934,Fri Oct 19 13:52:32 +0000 2018,0.36,0.64,0.0,6
6,0.0,Fri Oct 19 12:32:46 +0000 2018,0.0,1.0,0.0,7
7,-0.3612,Fri Oct 19 06:46:44 +0000 2018,0.265,0.531,0.204,8
8,0.0,Thu Oct 18 10:23:30 +0000 2018,0.0,1.0,0.0,9
9,-0.0258,Wed Oct 17 14:14:40 +0000 2018,0.133,0.739,0.128,10
10,0.0,Wed Oct 17 14:09:35 +0000 2018,0.0,1.0,0.0,11
11,-0.926,Wed Oct 17 13:24:04 +0000 2018,0.443,0.557,0.0,12
12,-0.6705,Wed Oct 17 11:05:21 +0000 2018,0.191,0.809,0.0,13
13,0.0,Wed Oct 17 08:34:17 +0000 2018,0.0,1.0,0.0,14
14,0.0,Wed Oct 17 02:41:25 +0000 2018,0.0,1.0,0.0,15
15,0.8555,Tue Oct 16 20:52:25 +0000 2018,0.0,0.669,0.331,16
16,0.4767,Tue Oct 16 14:37:04 +0000 2018,0.0,0.853,0.147,17
17,-0.8126,Tue Oct 16 13:05:52 +0000 2018,0.303,0.697,0.0,18
18,-0.4404,Tue Oct 16 08:33:11 +0000 2018,0.153,0.847,0.0,19
19,0.0,Mon Oct 15 14:47:53 +0000 2018,0.0,1.0,0.0,20
20,-0.8126,Mon Oct 15 10:37:12 +0000 2018,0.33,0.67,0.0,21
21,0.0,Mon Oct 15 07:45:44 +0000 2018,0.0,1.0,0.0,22
22,-0.7003,Sun Oct 14 16:28:38 +0000 2018,0.279,0.721,0.0,23
23,-0.5423,Sun Oct 14 15:49:32 +0000 2018,0.163,0.837,0.0,24
24,-0.128,Sun Oct 14 14:16:17 +0000 2018,0.086,0.914,0.0,25
25,0.2244,Sat Oct 13 19:18:11 +0000 2018,0.114,0.735,0.151,26
26,-0.8225,Sat Oct 13 12:00:41 +0000 2018,0.395,0.504,0.101,27
27,0.0,Sat Oct 13 09:06:45 +0000 2018,0.0,1.0,0.0,28
28,-0.765,Fri Oct 12 14:43:33 +0000 2018,0.292,0.708,0.0,29
29,-0.926,Fri Oct 12 13:57:00 +0000 2018,0.49,0.51,0.0,30
30,-0.6808,Fri Oct 12 13:34:20 +0000 2018,0.228,0.772,0.0,31
31,-0.3182,Fri Oct 12 11:26:48 +0000 2018,0.106,0.837,0.057,32
32,-0.875,Thu Oct 11 17:15:05 +0000 2018,0.458,0.542,0.0,33
33,-0.2732,Thu Oct 11 14:01:34 +0000 2018,0.116,0.815,0.069,34
34,-0.3818,Thu Oct 11 09:05:35 +0000 2018,0.14,0.86,0.0,35
35,-0.6249,Wed Oct 10 17:56:32 +0000 2018,0.17,0.83,0.0,36
36,0.5859,Wed Oct 10 09:05:29 +0000 2018,0.0,0.808,0.192,37
37,0.0,Tue Oct 09 14:51:48 +0000 2018,0.0,1.0,0.0,38
38,-0.25,Tue Oct 09 14:16:59 +0000 2018,0.105,0.895,0.0,39
39,-0.4215,Tue Oct 09 11:15:38 +0000 2018,0.135,0.865,0.0,40
40,-0.7184,Mon Oct 08 20:26:53 +0000 2018,0.25,0.75,0.0,41
41,-0.7184,Mon Oct 08 19:18:56 +0000 2018,0.273,0.727,0.0,42
42,-0.7003,Mon Oct 08 09:31:48 +0000 2018,0.281,0.667,0.052,43
43,0.5859,Sun Oct 07 14:22:18 +0000 2018,0.0,0.858,0.142,44
44,0.6239,Sun Oct 07 05:21:03 +0000 2018,0.0,0.83,0.17,45
45,0.4019,Sat Oct 06 20:01:45 +0000 2018,0.093,0.732,0.176,46
46,-0.9169,Fri Oct 05 19:00:06 +0000 2018,0.412,0.588,0.0,47
47,0.802,Fri Oct 05 14:53:00 +0000 2018,0.0,0.661,0.339,48
48,-0.8176,Fri Oct 05 13:22:20 +0000 2018,0.294,0.706,0.0,49
49,-0.0258,Fri Oct 05 09:06:36 +0000 2018,0.268,0.467,0.265,50
50,-0.2732,Thu Oct 04 13:44:07 +0000 2018,0.116,0.884,0.0,51
51,-0.296,Thu Oct 04 13:23:18 +0000 2018,0.231,0.63,0.139,52
52,-0.3612,Thu Oct 04 10:08:57 +0000 2018,0.241,0.64,0.118,53
53,-0.8834,Wed Oct 03 15:59:12 +0000 2018,0.408,0.549,0.043,54
54,-0.8316,Wed Oct 03 15:38:53 +0000 2018,0.423,0.577,0.0,55
55,-0.7269,Wed Oct 03 08:29:50 +0000 2018,0.276,0.724,0.0,56
56,0.0,Wed Oct 03 07:17:36 +0000 2018,0.0,1.0,0.0,57
57,0.0,Tue Oct 02 10:37:30 +0000 2018,0.0,1.0,0.0,58
58,-0.6369,Tue Oct 02 06:55:57 +0000 2018,0.216,0.721,0.062,59
59,-0.5719,Tue Oct 02 06:25:58 +0000 2018,0.171,0.829,0.0,60
60,-0.6597,Tue Oct 02 06:13:53 +0000 2018,0.265,0.735,0.0,61
61,-0.5574,Mon Oct 01 12:16:14 +0000 2018,0.167,0.833,0.0,62
62,0.7067,Sun Sep 30 15:02:11 +0000 2018,0.0,0.796,0.204,63
63,-0.7351,Sun Sep 30 06:52:14 +0000 2018,0.292,0.708,0.0,64
64,0.2732,Sat Sep 29 14:18:39 +0000 2018,0.066,0.812,0.122,65
65,-0.5574,Sat Sep 29 07:33:05 +0000 2018,0.167,0.833,0.0,66
66,0.5574,Fri Sep 28 21:09:09 +0000 2018,0.0,0.833,0.167,67
67,0.5719,Fri Sep 28 18:04:12 +0000 2018,0.0,0.773,0.227,68
68,0.34,Fri Sep 28 17:44:43 +0000 2018,0.0,0.902,0.098,69
69,0.0,Fri Sep 28 17:08:56 +0000 2018,0.0,1.0,0.0,70
70,-0.296,Fri Sep 28 15:55:27 +0000 2018,0.128,0.872,0.0,71
71,0.0,Fri Sep 28 12:54:18 +0000 2018,0.0,1.0,0.0,72
72,-0.743,Fri Sep 28 09:46:20 +0000 2018,0.283,0.717,0.0,73
73,-0.5859,Thu Sep 27 20:29:32 +0000 2018,0.283,0.613,0.104,74
74,0.0352,Thu Sep 27 19:18:04 +0000 2018,0.144,0.706,0.15,75
75,0.0258,Thu Sep 27 15:14:06 +0000 2018,0.0,0.942,0.058,76
76,-0.6395,Thu Sep 27 14:40:05 +0000 2018,0.199,0.801,0.0,77
77,-0.7351,Wed Sep 26 16:32:23 +0000 2018,0.279,0.721,0.0,78
78,0.0,Wed Sep 26 14:55:12 +0000 2018,0.0,1.0,0.0,79
79,-0.0258,Wed Sep 26 13:08:57 +0000 2018,0.111,0.783,0.106,80
80,-0.8271,Tue Sep 25 18:13:58 +0000 2018,0.312,0.688,0.0,81
81,0.4215,Tue Sep 25 14:50:14 +0000 2018,0.0,0.877,0.123,82
82,0.0,Mon Sep 24 17:24:24 +0000 2018,0.0,1.0,0.0,83
83,0.0,Mon Sep 24 15:11:09 +0000 2018,0.0,1.0,0.0,84
84,0.8395,Sat Sep 22 21:46:29 +0000 2018,0.0,0.715,0.285,85
85,0.2263,Sat Sep 22 20:09:28 +0000 2018,0.0,0.899,0.101,86
86,-0.0258,Sat Sep 22 18:48:42 +0000 2018,0.212,0.579,0.208,87
