,Compound,Date,Negative,Neutral,Positive,Tweets Ago
0,0.2263,Tue Oct 23 01:19:43 +0000 2018,0.0,0.872,0.128,1
1,0.0,Tue Oct 23 01:00:01 +0000 2018,0.0,1.0,0.0,2
2,-0.296,Tue Oct 23 00:49:34 +0000 2018,0.145,0.855,0.0,3
3,-0.5994,Tue Oct 23 00:39:48 +0000 2018,0.332,0.521,0.147,4
4,-0.802,Tue Oct 23 00:33:33 +0000 2018,0.34,0.66,0.0,5
5,0.34,Tue Oct 23 00:20:00 +0000 2018,0.0,0.876,0.124,6
6,-0.228,Tue Oct 23 00:04:59 +0000 2018,0.12,0.88,0.0,7
7,-0.8271,Mon Oct 22 23:49:57 +0000 2018,0.312,0.688,0.0,8
8,0.0,Mon Oct 22 23:47:31 +0000 2018,0.0,1.0,0.0,9
9,0.0,Mon Oct 22 23:29:47 +0000 2018,0.0,1.0,0.0,10
10,0.296,Mon Oct 22 23:11:31 +0000 2018,0.0,0.896,0.104,11
11,0.0,Mon Oct 22 23:04:16 +0000 2018,0.0,1.0,0.0,12
12,0.8834,Mon Oct 22 23:03:45 +0000 2018,0.0,0.648,0.352,13
13,0.0,Mon Oct 22 22:52:19 +0000 2018,0.0,1.0,0.0,14
14,-0.6841,Mon Oct 22 22:49:34 +0000 2018,0.181,0.819,0.0,15
15,-0.3818,Mon Oct 22 22:48:58 +0000 2018,0.115,0.885,0.0,16
16,-0.2732,Mon Oct 22 22:40:16 +0000 2018,0.104,0.896,0.0,17
17,0.0,Mon Oct 22 22:34:14 +0000 2018,0.0,1.0,0.0,18
18,-0.802,Mon Oct 22 22:29:47 +0000 2018,0.34,0.66,0.0,19
19,0.0,Mon Oct 22 22:09:42 +0000 2018,0.0,1.0,0.0,20
20,0.4215,Mon Oct 22 21:51:11 +0000 2018,0.0,0.865,0.135,21
21,0.0,Mon Oct 22 21:29:33 +0000 2018,0.0,1.0,0.0,22
22,-0.5423,Mon Oct 22 21:09:36 +0000 2018,0.2,0.8,0.0,23
23,0.6249,Mon Oct 22 20:59:47 +0000 2018,0.0,0.843,0.157,24
24,0.0772,Mon Oct 22 20:59:17 +0000 2018,0.106,0.773,0.121,25
25,-0.5574,Mon Oct 22 20:55:45 +0000 2018,0.141,0.859,0.0,26
26,-0.1531,Mon Oct 22 20:51:09 +0000 2018,0.16,0.708,0.132,27
27,0.25,Mon Oct 22 20:50:18 +0000 2018,0.0,0.905,0.095,28
28,0.0,Mon Oct 22 20:41:12 +0000 2018,0.0,1.0,0.0,29
29,-0.7579,Mon Oct 22 20:30:57 +0000 2018,0.394,0.606,0.0,30
30,0.0,Mon Oct 22 20:09:58 +0000 2018,0.0,1.0,0.0,31
31,0.0,Mon Oct 22 19:51:00 +0000 2018,0.0,1.0,0.0,32
32,-0.4215,Mon Oct 22 19:30:33 +0000 2018,0.304,0.57,0.127,33
33,0.0,Mon Oct 22 19:10:49 +0000 2018,0.0,1.0,0.0,34
34,0.0,Mon Oct 22 18:51:04 +0000 2018,0.0,1.0,0.0,35
35,0.5927,Mon Oct 22 18:30:50 +0000 2018,0.0,0.796,0.204,36
36,0.4939,Mon Oct 22 17:50:49 +0000 2018,0.0,0.824,0.176,37
37,0.2533,Mon Oct 22 17:43:19 +0000 2018,0.126,0.669,0.205,38
38,0.0,Mon Oct 22 17:30:33 +0000 2018,0.0,1.0,0.0,39
39,-0.8402,Mon Oct 22 17:10:40 +0000 2018,0.32,0.68,0.0,40
40,0.0,Mon Oct 22 17:06:19 +0000 2018,0.0,1.0,0.0,41
41,-0.6124,Mon Oct 22 16:54:26 +0000 2018,0.167,0.833,0.0,42
42,-0.4019,Mon Oct 22 16:30:43 +0000 2018,0.153,0.847,0.0,43
43,0.0,Mon Oct 22 16:10:38 +0000 2018,0.0,1.0,0.0,44
44,0.296,Mon Oct 22 15:50:37 +0000 2018,0.0,0.82,0.18,45
45,-0.296,Mon Oct 22 15:30:39 +0000 2018,0.167,0.833,0.0,46
46,0.0,Mon Oct 22 15:10:34 +0000 2018,0.0,1.0,0.0,47
47,0.5622,Mon Oct 22 14:51:10 +0000 2018,0.0,0.839,0.161,48
48,-0.6908,Mon Oct 22 14:30:43 +0000 2018,0.217,0.783,0.0,49
49,0.5423,Mon Oct 22 14:09:38 +0000 2018,0.0,0.8,0.2,50
50,0.3818,Mon Oct 22 13:49:36 +0000 2018,0.0,0.86,0.14,51
51,-0.6486,Mon Oct 22 13:30:43 +0000 2018,0.202,0.798,0.0,52
52,0.34,Mon Oct 22 13:10:47 +0000 2018,0.0,0.876,0.124,53
53,0.7184,Mon Oct 22 12:50:47 +0000 2018,0.0,0.684,0.316,54
54,0.34,Mon Oct 22 12:45:45 +0000 2018,0.0,0.855,0.145,55
55,0.0,Mon Oct 22 12:30:48 +0000 2018,0.0,1.0,0.0,56
56,0.2449,Mon Oct 22 12:11:45 +0000 2018,0.0,0.91,0.09,57
