,Compound,Date,Negative,Neutral,Positive,Tweets Ago
0,-0.4939,Mon Oct 22 15:51:25 +0000 2018,0.186,0.814,0.0,1
1,0.0,Mon Oct 22 15:31:38 +0000 2018,0.0,1.0,0.0,2
2,-0.5994,Mon Oct 22 15:21:34 +0000 2018,0.17,0.83,0.0,3
3,0.5106,Mon Oct 22 14:40:43 +0000 2018,0.0,0.858,0.142,4
4,0.0,Mon Oct 22 14:13:24 +0000 2018,0.0,1.0,0.0,5
5,-0.8807,Mon Oct 22 13:43:46 +0000 2018,0.373,0.556,0.072,6
6,-0.6705,Mon Oct 22 10:11:01 +0000 2018,0.22,0.78,0.0,7
7,-0.9153,Sun Oct 21 22:25:34 +0000 2018,0.43,0.57,0.0,8
8,0.4019,Sun Oct 21 21:01:41 +0000 2018,0.0,0.881,0.119,9
9,-0.7783,Sun Oct 21 17:44:48 +0000 2018,0.274,0.726,0.0,10
10,-0.7003,Sun Oct 21 16:06:03 +0000 2018,0.254,0.746,0.0,11
11,-0.8625,Sun Oct 21 14:21:56 +0000 2018,0.375,0.625,0.0,12
12,0.2023,Sun Oct 21 13:34:36 +0000 2018,0.0,0.893,0.107,13
13,-0.2732,Sun Oct 21 12:26:23 +0000 2018,0.204,0.681,0.115,14
14,0.4404,Sun Oct 21 03:52:24 +0000 2018,0.0,0.879,0.121,15
15,-0.5574,Sat Oct 20 23:29:23 +0000 2018,0.159,0.841,0.0,16
16,-0.6705,Sat Oct 20 22:30:32 +0000 2018,0.184,0.816,0.0,17
17,0.0,Sat Oct 20 21:46:12 +0000 2018,0.0,1.0,0.0,18
18,-0.8316,Sat Oct 20 20:58:41 +0000 2018,0.291,0.709,0.0,19
19,-0.6908,Sat Oct 20 17:11:00 +0000 2018,0.262,0.675,0.063,20
20,-0.6486,Sat Oct 20 14:04:52 +0000 2018,0.275,0.725,0.0,21
21,-0.802,Sat Oct 20 13:29:45 +0000 2018,0.275,0.725,0.0,22
22,0.3818,Sat Oct 20 10:24:22 +0000 2018,0.088,0.76,0.152,23
23,0.34,Fri Oct 19 23:39:12 +0000 2018,0.0,0.844,0.156,24
24,-0.8779,Fri Oct 19 22:32:17 +0000 2018,0.419,0.581,0.0,25
25,0.128,Fri Oct 19 20:01:12 +0000 2018,0.226,0.53,0.244,26
26,-0.6369,Fri Oct 19 18:48:56 +0000 2018,0.245,0.755,0.0,27
27,-0.2732,Fri Oct 19 16:02:17 +0000 2018,0.091,0.909,0.0,28
28,-0.3182,Fri Oct 19 15:45:28 +0000 2018,0.099,0.901,0.0,29
29,0.0,Fri Oct 19 13:42:16 +0000 2018,0.0,1.0,0.0,30
30,-0.34,Fri Oct 19 12:42:56 +0000 2018,0.135,0.8,0.065,31
31,-0.2023,Fri Oct 19 00:41:30 +0000 2018,0.091,0.909,0.0,32
32,0.0,Fri Oct 19 00:29:29 +0000 2018,0.0,1.0,0.0,33
33,0.3612,Thu Oct 18 23:35:38 +0000 2018,0.0,0.878,0.122,34
34,-0.3818,Thu Oct 18 22:59:56 +0000 2018,0.11,0.89,0.0,35
35,-0.1027,Thu Oct 18 20:24:28 +0000 2018,0.203,0.566,0.231,36
36,0.34,Thu Oct 18 20:19:37 +0000 2018,0.0,0.888,0.112,37
37,0.0,Thu Oct 18 18:50:18 +0000 2018,0.0,1.0,0.0,38
38,0.6705,Thu Oct 18 18:33:55 +0000 2018,0.0,0.744,0.256,39
39,-0.296,Thu Oct 18 17:13:14 +0000 2018,0.141,0.773,0.086,40
40,-0.5423,Thu Oct 18 16:00:46 +0000 2018,0.269,0.562,0.169,41
41,0.2023,Thu Oct 18 15:58:25 +0000 2018,0.0,0.904,0.096,42
42,-0.3612,Thu Oct 18 13:39:17 +0000 2018,0.213,0.681,0.106,43
43,-0.8126,Thu Oct 18 13:32:57 +0000 2018,0.303,0.697,0.0,44
44,-0.4939,Thu Oct 18 12:51:43 +0000 2018,0.211,0.789,0.0,45
45,0.0,Thu Oct 18 00:17:01 +0000 2018,0.0,1.0,0.0,46
46,-0.8316,Wed Oct 17 21:04:15 +0000 2018,0.355,0.645,0.0,47
47,-0.6124,Wed Oct 17 20:31:13 +0000 2018,0.333,0.542,0.125,48
48,0.743,Wed Oct 17 20:30:44 +0000 2018,0.0,0.76,0.24,49
49,-0.4118,Wed Oct 17 17:36:55 +0000 2018,0.116,0.884,0.0,50
50,-0.6597,Wed Oct 17 16:40:41 +0000 2018,0.18,0.82,0.0,51
51,-0.296,Wed Oct 17 16:40:10 +0000 2018,0.115,0.885,0.0,52
52,-0.7506,Wed Oct 17 15:42:23 +0000 2018,0.286,0.714,0.0,53
53,0.0,Wed Oct 17 15:09:47 +0000 2018,0.0,1.0,0.0,54
54,0.0,Wed Oct 17 13:44:00 +0000 2018,0.0,1.0,0.0,55
55,0.4939,Wed Oct 17 13:28:23 +0000 2018,0.0,0.849,0.151,56
56,-0.3612,Wed Oct 17 12:38:29 +0000 2018,0.152,0.848,0.0,57
57,-0.6705,Wed Oct 17 12:22:17 +0000 2018,0.191,0.809,0.0,58
58,0.3182,Wed Oct 17 11:39:03 +0000 2018,0.0,0.892,0.108,59
59,0.0,Wed Oct 17 00:14:11 +0000 2018,0.0,1.0,0.0,60
60,-0.5267,Tue Oct 16 23:48:46 +0000 2018,0.221,0.779,0.0,61
61,-0.6705,Tue Oct 16 23:04:22 +0000 2018,0.17,0.83,0.0,62
62,-0.4404,Tue Oct 16 22:39:41 +0000 2018,0.139,0.861,0.0,63
63,-0.7783,Tue Oct 16 20:22:38 +0000 2018,0.264,0.736,0.0,64
64,-0.296,Tue Oct 16 20:11:03 +0000 2018,0.115,0.885,0.0,65
65,-0.8316,Tue Oct 16 17:58:47 +0000 2018,0.355,0.645,0.0,66
66,0.0,Tue Oct 16 17:06:05 +0000 2018,0.0,1.0,0.0,67
67,0.0,Tue Oct 16 12:26:20 +0000 2018,0.0,1.0,0.0,68
68,0.0,Tue Oct 16 08:01:46 +0000 2018,0.0,1.0,0.0,69
69,-0.2263,Mon Oct 15 23:21:52 +0000 2018,0.119,0.881,0.0,70
70,-0.5574,Mon Oct 15 22:15:04 +0000 2018,0.175,0.825,0.0,71
71,-0.5994,Mon Oct 15 21:49:42 +0000 2018,0.246,0.754,0.0,72
72,-0.5719,Mon Oct 15 19:57:48 +0000 2018,0.233,0.674,0.093,73
73,0.0,Mon Oct 15 18:38:38 +0000 2018,0.0,1.0,0.0,74
74,-0.872,Mon Oct 15 16:48:22 +0000 2018,0.355,0.645,0.0,75
75,-0.4939,Mon Oct 15 15:39:54 +0000 2018,0.167,0.833,0.0,76
76,-0.2732,Mon Oct 15 14:20:07 +0000 2018,0.1,0.9,0.0,77
77,-0.5423,Mon Oct 15 14:17:46 +0000 2018,0.171,0.829,0.0,78
78,-0.4939,Mon Oct 15 14:11:39 +0000 2018,0.167,0.745,0.089,79
79,-0.4215,Mon Oct 15 13:50:32 +0000 2018,0.149,0.851,0.0,80
80,0.0,Mon Oct 15 12:05:27 +0000 2018,0.0,1.0,0.0,81
81,-0.4019,Mon Oct 15 12:02:02 +0000 2018,0.147,0.776,0.078,82
82,0.0,Mon Oct 15 10:30:03 +0000 2018,0.0,1.0,0.0,83
83,-0.5574,Mon Oct 15 09:56:04 +0000 2018,0.175,0.825,0.0,84
84,0.0,Mon Oct 15 08:01:00 +0000 2018,0.0,1.0,0.0,85
85,0.0,Mon Oct 15 07:59:11 +0000 2018,0.0,1.0,0.0,86
86,0.4215,Mon Oct 15 05:35:32 +0000 2018,0.0,0.851,0.149,87
