,Compound,Date,Negative,Neutral,Positive,Tweets Ago
0,0.3034,Tue Oct 23 01:31:20 +0000 2018,0.109,0.704,0.188,1
1,0.0,Tue Oct 23 01:25:41 +0000 2018,0.0,1.0,0.0,2
2,0.3818,Tue Oct 23 01:21:27 +0000 2018,0.0,0.874,0.126,3
3,-0.2732,Tue Oct 23 01:19:35 +0000 2018,0.1,0.9,0.0,4
4,0.4019,Tue Oct 23 01:16:27 +0000 2018,0.0,0.803,0.197,5
5,0.0772,Tue Oct 23 01:07:43 +0000 2018,0.0,0.933,0.067,6
6,0.4019,Tue Oct 23 00:53:10 +0000 2018,0.0,0.828,0.172,7
7,0.0,Tue Oct 23 00:32:13 +0000 2018,0.0,1.0,0.0,8
8,0.4767,Tue Oct 23 00:24:35 +0000 2018,0.0,0.659,0.341,9
9,0.0,Tue Oct 23 00:13:50 +0000 2018,0.0,1.0,0.0,10
10,0.0,Tue Oct 23 00:08:50 +0000 2018,0.0,1.0,0.0,11
11,0.6597,Tue Oct 23 00:03:05 +0000 2018,0.0,0.769,0.231,12
12,0.6249,Mon Oct 22 23:59:22 +0000 2018,0.0,0.773,0.227,13
13,0.836,Mon Oct 22 23:57:14 +0000 2018,0.0,0.544,0.456,14
14,0.5267,Mon Oct 22 23:52:17 +0000 2018,0.0,0.855,0.145,15
15,0.8126,Mon Oct 22 23:49:29 +0000 2018,0.073,0.594,0.332,16
16,0.0,Mon Oct 22 23:46:08 +0000 2018,0.0,1.0,0.0,17
17,0.0,Mon Oct 22 23:41:26 +0000 2018,0.0,1.0,0.0,18
18,0.0772,Mon Oct 22 23:39:47 +0000 2018,0.0,0.86,0.14,19
19,-0.1027,Mon Oct 22 23:29:21 +0000 2018,0.096,0.826,0.078,20
20,0.0,Mon Oct 22 23:25:50 +0000 2018,0.0,1.0,0.0,21
21,0.0,Mon Oct 22 23:19:52 +0000 2018,0.0,1.0,0.0,22
22,0.0,Mon Oct 22 23:19:00 +0000 2018,0.0,1.0,0.0,23
23,-0.5106,Mon Oct 22 23:14:41 +0000 2018,0.231,0.769,0.0,24
24,0.4585,Mon Oct 22 23:13:03 +0000 2018,0.0,0.842,0.158,25
25,0.7184,Mon Oct 22 23:08:42 +0000 2018,0.0,0.682,0.318,26
26,0.0772,Mon Oct 22 22:56:36 +0000 2018,0.0,0.929,0.071,27
27,0.4588,Mon Oct 22 22:41:47 +0000 2018,0.0,0.81,0.19,28
28,0.0,Mon Oct 22 22:35:13 +0000 2018,0.0,1.0,0.0,29
29,-0.5994,Mon Oct 22 22:31:27 +0000 2018,0.196,0.804,0.0,30
30,0.0,Mon Oct 22 22:26:24 +0000 2018,0.0,1.0,0.0,31
31,-0.743,Mon Oct 22 22:21:19 +0000 2018,0.27,0.73,0.0,32
32,0.4588,Mon Oct 22 22:10:22 +0000 2018,0.0,0.786,0.214,33
33,0.6249,Mon Oct 22 21:58:02 +0000 2018,0.0,0.773,0.227,34
34,-0.8555,Mon Oct 22 21:55:00 +0000 2018,0.461,0.539,0.0,35
35,0.0,Mon Oct 22 21:48:10 +0000 2018,0.0,1.0,0.0,36
36,0.0,Mon Oct 22 21:41:00 +0000 2018,0.0,1.0,0.0,37
37,-0.3612,Mon Oct 22 21:34:05 +0000 2018,0.152,0.848,0.0,38
38,-0.395,Mon Oct 22 21:22:55 +0000 2018,0.118,0.882,0.0,39
39,0.4678,Mon Oct 22 21:19:02 +0000 2018,0.0,0.798,0.202,40
40,0.0,Mon Oct 22 21:15:39 +0000 2018,0.0,1.0,0.0,41
41,-0.4767,Mon Oct 22 21:14:43 +0000 2018,0.22,0.78,0.0,42
42,0.0,Mon Oct 22 21:04:55 +0000 2018,0.0,1.0,0.0,43
43,0.0,Mon Oct 22 21:00:19 +0000 2018,0.0,1.0,0.0,44
44,-0.5423,Mon Oct 22 20:48:21 +0000 2018,0.282,0.581,0.137,45
45,0.4939,Mon Oct 22 20:48:00 +0000 2018,0.0,0.856,0.144,46
46,0.0,Mon Oct 22 20:43:00 +0000 2018,0.0,1.0,0.0,47
47,0.0,Mon Oct 22 20:37:30 +0000 2018,0.0,1.0,0.0,48
48,-0.5267,Mon Oct 22 20:35:24 +0000 2018,0.145,0.855,0.0,49
49,0.0,Mon Oct 22 20:31:56 +0000 2018,0.0,1.0,0.0,50
50,0.8658,Mon Oct 22 20:28:07 +0000 2018,0.0,0.445,0.555,51
