,Compound,Date,Negative,Neutral,Positive,Tweets Ago
0,-0.8428,Tue Oct 23 00:47:05 +0000 2018,0.411,0.589,0.0,1
1,0.0,Tue Oct 23 00:32:01 +0000 2018,0.0,1.0,0.0,2
2,0.4995,Tue Oct 23 00:23:06 +0000 2018,0.0,0.848,0.152,3
3,0.0,Tue Oct 23 00:17:03 +0000 2018,0.0,1.0,0.0,4
4,-0.3818,Mon Oct 22 23:56:17 +0000 2018,0.12,0.88,0.0,5
5,-0.3612,Mon Oct 22 23:47:07 +0000 2018,0.122,0.878,0.0,6
6,0.128,Mon Oct 22 23:30:14 +0000 2018,0.0,0.914,0.086,7
7,0.4927,Mon Oct 22 23:17:05 +0000 2018,0.0,0.849,0.151,8
8,0.0,Mon Oct 22 23:03:17 +0000 2018,0.0,1.0,0.0,9
9,0.0,Mon Oct 22 22:47:05 +0000 2018,0.0,1.0,0.0,10
10,0.3612,Mon Oct 22 22:32:07 +0000 2018,0.0,0.884,0.116,11
11,0.0,Mon Oct 22 22:17:02 +0000 2018,0.0,1.0,0.0,12
12,0.0,Mon Oct 22 22:08:05 +0000 2018,0.0,1.0,0.0,13
13,0.5859,Mon Oct 22 21:55:04 +0000 2018,0.0,0.817,0.183,14
14,0.0,Mon Oct 22 21:41:06 +0000 2018,0.0,1.0,0.0,15
15,0.2263,Mon Oct 22 21:26:01 +0000 2018,0.0,0.905,0.095,16
16,0.0,Mon Oct 22 21:10:05 +0000 2018,0.0,1.0,0.0,17
17,-0.765,Mon Oct 22 20:56:04 +0000 2018,0.268,0.732,0.0,18
18,0.1779,Mon Oct 22 20:54:59 +0000 2018,0.13,0.711,0.159,19
19,0.0,Mon Oct 22 20:40:05 +0000 2018,0.0,1.0,0.0,20
20,0.5859,Mon Oct 22 20:25:06 +0000 2018,0.0,0.826,0.174,21
21,-0.7999,Mon Oct 22 20:10:02 +0000 2018,0.324,0.676,0.0,22
22,0.3182,Mon Oct 22 19:58:05 +0000 2018,0.0,0.897,0.103,23
23,0.0,Mon Oct 22 19:51:28 +0000 2018,0.0,1.0,0.0,24
24,-0.5095,Mon Oct 22 19:47:33 +0000 2018,0.141,0.859,0.0,25
25,-0.5574,Mon Oct 22 19:43:22 +0000 2018,0.213,0.787,0.0,26
26,-0.228,Mon Oct 22 19:40:09 +0000 2018,0.139,0.77,0.092,27
27,-0.3182,Mon Oct 22 19:36:58 +0000 2018,0.108,0.892,0.0,28
